201  11401 |Loss: 0.070 | Acc: 97.630% 
201  11402 |Loss: 0.072 | Acc: 97.686% 
201  11403 |Loss: 0.065 | Acc: 98.006% 
201  11404 |Loss: 0.066 | Acc: 97.968% 
201  11405 |Loss: 0.067 | Acc: 97.901% 
201  11406 |Loss: 0.068 | Acc: 97.931% 
201  11407 |Loss: 0.069 | Acc: 97.807% 
201  11408 |Loss: 0.067 | Acc: 97.884% 
201  11409 |Loss: 0.070 | Acc: 97.793% 
201  11410 |Loss: 0.070 | Acc: 97.765% 
201  11411 |Loss: 0.070 | Acc: 97.743% 
201  11412 |Loss: 0.069 | Acc: 97.799% 
201  11413 |Loss: 0.070 | Acc: 97.786% 
201  11414 |Loss: 0.070 | Acc: 97.791% 
201  11415 |Loss: 0.070 | Acc: 97.773% 
201  11416 |Loss: 0.069 | Acc: 97.792% 
201  11417 |Loss: 0.069 | Acc: 97.783% 
201  11418 |Loss: 0.070 | Acc: 97.799% 
201  11419 |Loss: 0.070 | Acc: 97.760% 
201  11420 |Loss: 0.070 | Acc: 97.748% 
201  11421 |Loss: 0.070 | Acc: 97.759% 
201  11422 |Loss: 0.070 | Acc: 97.748% 
201  11423 |Loss: 0.069 | Acc: 97.767% 
201  11424 |Loss: 0.069 | Acc: 97.776% 
201  11425 |Loss: 0.070 | Acc: 97.761% 
201  11426 |Loss: 0.070 | Acc: 97.747% 
201  11427 |Loss: 0.070 | Acc: 97.768% 
201  11428 |Loss: 0.070 | Acc: 97.747% 
201  11429 |Loss: 0.070 | Acc: 97.747% 
201  11430 |Loss: 0.071 | Acc: 97.750% 
201  11431 |Loss: 0.070 | Acc: 97.750% 
201  11432 |Loss: 0.070 | Acc: 97.750% 
201  11433 |Loss: 0.071 | Acc: 97.691% 
201  11434 |Loss: 0.071 | Acc: 97.703% 
201  11435 |Loss: 0.071 | Acc: 97.698% 
201  11436 |Loss: 0.071 | Acc: 97.705% 
201  11437 |Loss: 0.071 | Acc: 97.712% 
201  11438 |Loss: 0.071 | Acc: 97.710% 
